is_followed,is_favorited,nb_episodes_seen,tv_show_name,user_id,tv_show_id
1,0,3,The Simpsons,64798203,71663
1,0,0,Arrested Development,64798203,72173
1,0,151,The Office (US),64798203,73244
1,0,23,Desperate Housewives,64798203,73800
1,0,0,Futurama,64798203,73871
1,0,0,The Sopranos,64798203,75299
1,0,134,How I Met Your Mother,64798203,75760
1,0,236,Friends,64798203,79168
1,0,37,Skins,64798203,79773
1,0,20,H,64798203,80409
1,0,106,Gossip Girl,64798203,80547
1,0,33,Breaking Bad,64798203,81189
1,0,46,The Mentalist,64798203,82459
1,0,108,Glee,64798203,83610
1,0,47,Sonny with a Chance,64798203,84963
1,0,3,RuPaul's Drag Race,64798203,85002
1,0,84,Community,64798203,94571
1,0,0,Noob,64798203,111371
1,0,40,Game of Thrones,64798203,121361
1,0,6,Misfits,64798203,124051
1,0,0,The Visitor from the Future,64798203,145871
1,0,0,Victorious,64798203,152721
1,0,156,Adventure Time,64798203,152831
1,0,2,Shameless (US),64798203,161511
1,0,12,Sherlock,64798203,176941
1,0,42,Profilage,64798203,226181
1,0,28,Suits,64798203,247808
1,0,49,New Girl,64798203,248682
1,0,7,Don't Trust the B---- in Apartment 23,64798203,248812
1,0,25,American Horror Story,64798203,250487
1,0,8,3%,64798203,250749
1,0,6,Bref.,64798203,251562
1,0,22,Black Mirror,64798203,253463
1,0,20,Orphan Black,64798203,260315
1,0,27,Vikings,64798203,260449
1,0,6,Sense8,64798203,268156
1,0,125,Brooklyn Nine-Nine,64798203,269586
1,0,30,Peaky Blinders,64798203,270915
1,0,1,Better Call Saul,64798203,273181
1,0,51,Rick and Morty,64798203,275274
1,0,26,Unbreakable Kimmy Schmidt,64798203,281593
1,0,30,How to Get Away with Murder,64798203,281620
1,0,22,Jane the Virgin,64798203,281621
1,0,0,The Last Man on Earth,64798203,281622
1,0,12,BoJack Horseman,64798203,282254
1,0,0,Narcos,64798203,282670
1,0,0,Mr. Robot,64798203,289590
1,0,0,Superstore,64798203,295648
1,0,13,Lucifer,64798203,295685
1,0,20,Westworld,64798203,296762
1,0,1,She Was Pretty,64798203,299881
1,0,0,Bloqués,64798203,300414
1,0,8,Stranger Things,64798203,305288
1,0,0,A Series of Unfortunate Events,64798203,306304
1,0,26,The Good Place,64798203,311711
1,0,35,Riverdale,64798203,311954
1,0,18,Dirk Gently's Holistic Detective Agency,64798203,312505
1,0,6,"Hello, My Twenties!",64798203,313830
1,0,0,Fleabag,64798203,314614
1,0,2,Sick Note,64798203,319127
1,0,10,The Handmaid's Tale,64798203,321239
1,0,13,Girlboss,64798203,322246
1,0,2,Anne with an E,64798203,322971
1,0,26,13 Reasons Why,64798203,323168
1,0,16,Cable Girls,64798203,323225
1,0,20,The Bold Type,64798203,323385
1,0,20,Dear White People,64798203,323855
1,0,34,The Marvelous Mrs. Maisel,64798203,326791
1,0,10,Good Girls,64798203,328577
1,0,0,The Good Doctor,64798203,328634
1,0,44,Dynasty (2017),64798203,328749
1,0,0,Atypical,64798203,330374
1,0,3,Altered Carbon,64798203,332331
1,0,23,Final Space,64798203,332353
1,0,0,The End of the F***ing World,64798203,336522
1,0,10,You,64798203,336924
1,0,0,Derry Girls,64798203,338903
1,0,20,On My Block,64798203,339273
1,0,40,Disenchantment,64798203,340234
1,0,8,Killing Eve,64798203,340959
1,0,0,Everything Sucks!,64798203,341282
1,0,11,Titans (2018),64798203,341663
1,0,0,Bonding,64798203,344643
1,0,14,After Life,64798203,347507
1,0,0,Insatiable,64798203,348117
1,0,0,Paradise PD,64798203,348922
1,0,13,,64798203,349078
1,0,47,The Umbrella Academy,64798203,353764
1,0,0,Daybreak (2019),64798203,354735
1,0,8,The Boys,64798203,355567
1,0,0,Sweet Tooth,64798203,355837
1,0,29,Sex Education,64798203,356317
1,0,1,"Love, Death & Robots",64798203,357888
1,0,3,Hazbin Hotel,64798203,358805
1,0,0,Good Omens,64798203,359569
1,0,1,High School Musical: The Musical: The Series,64798203,359728
1,0,23,Euphoria (US),64798203,360261
1,0,0,Spinning Out,64798203,360858
1,0,0,Chernobyl,64798203,360893
1,0,12,How to Sell Drugs Online (Fast),64798203,361034
1,0,10,Locke & Key,64798203,361594
1,0,16,The Witcher,64798203,362696
1,0,0,The Dropout,64798203,363024
1,0,0,Trinkets,64798203,364082
1,0,27,Emily in Paris,64798203,364439
1,0,0,Inside Job,64798203,365098
1,0,28,Bridgerton,64798203,366668
1,0,0,The Lord of the Rings: The Rings of Power,64798203,367506
1,0,12,The Circle (US),64798203,368012
1,0,13,Fate: The Winx Saga,64798203,368185
1,0,1,INVINCIBLE (2021),64798203,368207
1,0,10,Upload,64798203,368211
1,0,0,SAS Rogue Heroes,64798203,368401
1,0,20,Mental (2019),64798203,369209
1,0,0,Arcane,64798203,371028
1,0,6,Inventing Anna,64798203,371944
1,0,1,Severance,64798203,371980
1,0,0,Solar Opposites,64798203,375892
1,0,10,Lupin,64798203,375921
1,0,0,I Am Not Okay With This,64798203,375998
1,0,8,Alice in Borderland (2020),64798203,376472
0,0,2,Gossip Girl (2021),64798203,377114
1,0,0,It's Okay to Not Be Okay,64798203,377955
1,0,10,Never Have I Ever,64798203,378746
1,0,1,Control Z,64798203,380850
1,0,13,Blood & Water,64798203,381969
1,0,9,Squid Game,64798203,383275
1,0,0,Tiny Pretty Things,64798203,384751
1,0,1,Teenage Bounty Hunters,64798203,385713
1,0,7,The Queen's Gambit,64798203,387115
1,0,0,Dear.M,64798203,387833
1,0,3,True Beauty (2020),64798203,388231
1,0,0,Lioness,64798203,388589
1,0,4,Monster (2022),64798203,389492
1,0,0,The Uncanny Counter,64798203,389855
1,0,1,KinnPorsche,64798203,391992
1,0,8,Color Rush,64798203,392063
1,0,9,ONE PIECE (2023),64798203,392276
1,0,19,To My Star,64798203,392436
1,0,0,God's Favorite Idiot,64798203,392708
1,0,0,Bad Buddy,64798203,392790
1,0,1,You Make Me Dance,64798203,393114
1,0,7,Doom at Your Service,64798203,393739
1,0,16,Heartstopper,64798203,395494
1,0,8,Heartbreak High (2022),64798203,396115
1,0,0,"Boo, Bitch",64798203,396374
1,0,11,Wednesday,64798203,397060
1,0,12,My Dress-Up Darling,64798203,401233
1,0,0,Alchemy of Souls,64798203,401475
1,0,10,Bed Friend,64798203,402324
1,0,8,Uncoupled,64798203,402799
1,0,3,The Bear,64798203,403294
1,0,6,Business Proposal,64798203,404645
1,0,0,Farzar,64798203,405481
1,0,0,Pretty Smart,64798203,406256
1,0,3,Tomorrow (2022),64798203,407316
1,0,5,Luna Park,64798203,409055
1,0,6,Orelsan: Never Show This to Anyone,64798203,410658
1,0,6,An Astrological Guide for Broken Hearts,64798203,410984
1,0,0,The Glory,64798203,411469
1,0,14,Drag Race France,64798203,412594
1,0,0,The Fabulous,64798203,412706
1,0,2,First Love Again (2022),64798203,412986
1,0,0,Oh! Boarding House,64798203,412989
1,0,0,Love to Hate You,64798203,414037
1,0,0,Blockbuster,64798203,414551
1,0,4,Semantic Error (2022),64798203,414603
1,0,8,The 8 Show,64798203,415307
1,0,0,The 7 Lives of Lea,64798203,417943
1,0,0,Dead Boy Detectives,64798203,419024
1,0,6,Love Class,64798203,419030
1,0,12,King the Land,64798203,419620
1,0,0,Happy Ending Romance,64798203,420244
1,0,1,Fakes (2022),64798203,421142
1,0,1,One Day (2024),64798203,421649
1,0,7,The New Employee,64798203,421934
1,0,0,Off the Hook (2022),64798203,423062
1,0,24,Delicious in Dungeon,64798203,423257
1,0,0,Why R U? (KR),64798203,423347
1,0,0,Daily Dose of Sunshine,64798203,423895
1,0,1,Roommates of Poongduck 304,64798203,425092
1,0,3,My Lovely Liar,64798203,425113
1,0,2,Queen Charlotte: A Bridgerton Story,64798203,425204
1,0,10,Destined With You,64798203,426950
1,0,3,A Boss and a Babe,64798203,427497
1,0,2,Cooking Crush,64798203,427503
1,0,12,Only Friends,64798203,427509
1,0,12,Dangerous Romance,64798203,427511
1,0,6,Doctor Slump,64798203,427807
1,0,0,Celebrity (2023),64798203,427920
1,0,4,La Pluie,64798203,428285
1,0,10,The Ultimatum: France,64798203,428485
1,0,2,My Demon,64798203,429870
1,0,6,A Good Girl's Guide to Murder,64798203,430061
1,0,1,Geek Girl,64798203,430228
1,0,1,Fiasco,64798203,431798
1,0,1,Hierarchy,64798203,432106
1,0,1,Pyramid Game,64798203,432761
1,0,0,DAN DA DAN,64798203,432832
1,0,0,A Sign of Affection,64798203,436899
1,0,6,Everything Now,64798203,439232
1,0,0,The Judge from Hell,64798203,439973
1,0,0,Love in the Big City,64798203,440735
1,0,1,Wandee Goodday,64798203,440983
1,0,0,Bake Me Please,64798203,441754
1,0,1,The Secret of Us,64798203,443182
1,0,5,Squeezie: Thanks Internet,64798203,443496
1,0,4,"Ready, Set, Love",64798203,444970
1,0,0,Brewing Love,64798203,447623
1,0,3,Dancing for the Devil: The 7M TikTok Cult,64798203,449674
1,0,0,Pop Star Academy: KATSEYE,64798203,450946
1,0,0,The Influencer (2024),64798203,452041
1,0,4,Drag Race France: All Stars,64798203,456956
1,0,5,Better Late Than Single,64798203,459840
