Nom,Durée (s),Style
NJ - GODS,152,Urban
TripleS -Rising,100,Kpop girl
Ateez - Work,170,Kpop boy
Build a bitch,40,Urban
SKZ - CHK CHK BOOM,142,Kpop boy
Hoshi - Spider,87,Kpop boy
Crazy - Le Sserafim,165,Kpop girl
Jazz - Soso LaoShi,82,Jazz
Karina - UP,60,Kpop girl
ATEEZ - Halazia,88,Kpop boy
New Jeans - Hype Boy,77,Kpop girl
BabyMonster - Like That,47,Kpop girl
Aespa - Whiplash,32,Kpop girl
HARRY STYLES - Adore You,58,Urban
Jay Park - MOMMAE - DAWON,88,Sexy
Ariana Grande - Into You,50,Urban
Badvillain - Badvillain,50,Kpop girl
KIOF - Igloo,17,Kpop girl
Ateez - Crazy Form,196,Kpop boy
Ten - Nightwalker,200,Kpop boy
BabyMonster - Drip,19,Kpop girl
Bibi - Vengeance,70,Kpop girl
Ed Sheeran - Shape of You,50,Urban
Exo - The Eve,46,Kpop boy
Stray kids - Walking on water,24,Kpop boy
Pixy - Karma,,Kpop girl
Sunmi - Gashina,,Kpop girl